name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;716;0;764;3159;1840;3159;1751;0
header;208;221;208;259;1820;259;1820;221
A;1526;362;1526;363;1526;363;1526;362
B;1410;539;1410;561;1428;561;1428;539
A;1456;583;1456;588;1461;588;1461;583
A;1491;686;1491;688;1494;688;1494;686
B;1539;757;1539;773;1550;773;1550;757
B;1060;792;1060;819;1079;819;1079;792
A;1466;923;1466;947;1484;947;1484;923
A;1397;978;1397;979;1399;979;1399;978
A;982;993;982;994;983;994;983;993
B;1140;1017;1140;1035;1155;1035;1155;1017
A;1141;1062;1141;1066;1146;1066;1146;1062
B;1698;1063;1698;1081;1712;1081;1712;1063
B;1391;1148;1391;1166;1405;1166;1405;1148
A;1175;1183;1175;1184;1177;1184;1177;1183
A;820;1315;820;1315;820;1315;820;1315
B;939;1586;939;1604;953;1604;953;1586
A;1205;1608;1205;1608;1205;1608;1205;1608
A;1536;1850;1536;1854;1542;1854;1542;1850
A;1788;1878;1788;1879;1788;1879;1788;1878
A;1078;1946;1078;1952;1083;1952;1083;1946
A;1629;2059;1629;2060;1631;2060;1631;2059
D;760;2070;760;2085;772;2085;772;2070
A;960;2125;960;2130;966;2130;966;2125
A;1714;2146;1714;2147;1714;2147;1714;2146
A;1729;2155;1729;2156;1731;2156;1731;2155
A;1782;2155;1782;2156;1782;2156;1782;2155
A;1594;2184;1594;2184;1595;2184;1595;2184
B;901;2192;901;2216;908;2216;908;2192
A;1633;2228;1633;2228;1633;2228;1633;2228
A;1632;2238;1632;2263;1639;2263;1639;2238
A;1707;2296;1707;2298;1711;2298;1711;2296
A;1516;2346;1516;2346;1516;2346;1516;2346
A;1432;2357;1432;2359;1433;2359;1433;2357
A;1213;2421;1213;2427;1218;2427;1218;2421
A;1212;2434;1212;2439;1217;2439;1217;2434
B;1166;2500;1166;2525;1181;2525;1181;2500
A;1192;2507;1192;2511;1197;2511;1197;2507
A;1696;2524;1696;2526;1697;2526;1697;2524
A;1695;2600;1695;2600;1695;2600;1695;2600
A;1802;2928;1802;2929;1804;2929;1804;2928
A;1620;2941;1620;2942;1621;2942;1621;2941
