name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;289;0;482;3159;1146;3159;1122;0
header;288;177;288;215;1916;215;1916;177
A;1092;239;1092;267;1113;267;1113;239
A;1066;627;1066;640;1073;640;1073;627
B;1090;914;1090;943;1112;943;1112;914
A;988;948;988;958;995;958;995;948
C;1088;1593;1088;1622;1109;1622;1109;1593
B;565;1718;565;1737;580;1737;580;1718
C;520;2078;520;2105;543;2105;543;2078
B;622;2078;622;2104;641;2104;641;2078
B;874;2078;874;2093;893;2093;893;2078
D;1086;2225;1086;2252;1107;2252;1107;2225
B;954;2371;954;2389;968;2389;968;2371
A;828;3050;828;3051;828;3051;828;3050
